scenario,item
你的宿舍到学校教学楼太远，于是你想购买一辆电动车来减少通勤时间，你想知道购买电瓶车需要注意的事项。,1
国庆假期你打算看一本小说来充实自己，但你不知道哪一本既可以在七天内看完，又符合你的阅读偏好，于是你想知道有什么推荐的小说。,2
你计划布置一个小型家庭影院，却担心空间有限，于是你想知道家庭影院的设备选购和布局建议。,3
你计划预约参观上海天文馆，听说天文馆不同时段会有特别演出，你想一次体验完所有演出，于是你想知道怎么安排行程。,4
你负责学校新年晚会的宣传素材，但却缺乏创意，你想知道一些新年晚会相关的文案模板和设计灵感。,5
家里人终于允许你养猫了，但你是第一次养猫，没有经验，于是你想知道养猫的注意事项。,6
你智齿发炎了想拔掉，但你没有单独看过医生，想知道就医过程和注意事项。,7
你在准备小组演示，但是对幻灯片设计毫无头绪，于是想知道如何制作专业且美观的PPT。,8
为解决宿舍收纳难题，你计划购买储物家具，但对品牌和尺寸无从选择，想知道一些实用的建议。,9
你对校内实习单位的选择感到迷茫，想了解哪些公司适合积累经验，你想知道筛选实习公司的方法。,10
你打算参加普通话考试，但是不清楚考试的流程和内容，你想了解考试的大致流程和内容。,11
你的高数成绩不好而且你学起来很吃力，你想在网络上找一些高数学习资料，想知道利用网络资源自学高数的方法。,12
你近期开始关注自己的身体健康，想去做个全面体检，你想知道怎么选择项目，需要做什么准备。,13
你是传媒专业的学生，为丰富毕业作品集，你计划拍摄短视频但设备不足，你想知道手机拍摄技巧和免费修图工具。,14
你对学校图书馆海量的电子资源感到无所适从，你想知道如何高效检索所需资料。,15
为控制校园卡消费，你制定节俭计划却屡屡破功，你想知道饮食、交通和娱乐的省钱策略。,16
你准备在课余时间去干兼职，但是你不了解学校的勤工助学岗位，你想知道从哪些方面判断岗位是否值得去。,17
你已经是大四毕业生，准备开始写毕业论文了，但是你不了解论文的写作技巧，你想知道如何写出一篇合格的毕业论文。,18
你周末想在网上找一部电影，度过一个美好的电影之夜。你想知道有什么好看的电影。,19
你即将毕业，需要投简历找工作，但目前你的求职简历还未优化，于是你想知道求职的简历应该注意哪些内容和要素。,20
为应对毕业求职，你想学习职场沟通技巧，但不知如何开始，你想知道有哪些相关的学习资源和实践建议。,21
你想参加校际辩论赛但逻辑训练薄弱，你想知道辩论赛的论点构建、反例预判和快速搜索技巧。,22
你想自己动手做一个夜灯，但手头预算紧张，你想知道LED材料选购、组装教程和省钱技巧。,23
你打算在大学期间自学一门第二外语，但是你不知道如何开始，你想知道二外学习资源的获取途径。,24
为提升校园摄影技巧，你计划租用专业相机但预算有限，你想知道高性价比的租赁渠道和使用技巧。,25
你计划假期背包旅行但从未独自出行，于是想知道行李清单、青旅选择技巧和安全注意事项。,26
你计划在校外实习两个月，需要在外面租房，但是不知道怎么才能找到便宜又方便的房子，你想知道房源信息的收集渠道。,27
你想培养晨读习惯但总是起不来，于是你想知道如何克服拖延、设定合理的起床激励方法。,28
你对跟室友的矛盾感到棘手，为了找到妥善处理人际关系的方法，你想知道建立良好室友关系的策略。,29
你想在二手平台卖出闲置但总被砍价，你想知道给物品拍照的技巧、定价策略和沟通话术。,30
在准备申请赴美读研的过程中，你急需了解最新的GRE考试动态及备考策略，你想知道如何制定学习计划、查找学习资料和其他相关信息的建议。,31
你准备写毕业论文，你想知道论文排版格式应该设成什么样的，不同学科又有什么特别的要求。,32
你准备参加数学建模竞赛但组队迷茫，你想知道角色分工建议、常用算法学习和论文写作规范。,33
你报名了线上文物修复课程却感受无趣，想调整学习方式，你想知道关于实地观察的建议和跨学科学习方法。,34
为准备留学签证面试，你需练习英文回答却缺乏相应模板，你想知道一些常见问题、回答要点和言谈礼仪。,35
你打算参加研究生考试，但是你是第一年参加考试，想知道考研的流程与大致的时间节点。,36
你打算出国旅游，因此需要办理护照，你想知道护照申请需要的材料和办理流程。,37
你想在假期尝试做一次义工旅行，但不知道从何找起， 你想知道可靠的义工旅行平台以及如何辨别项目的真实性。,38
你打算购买一辆二手自行车用来在学校代步，但是你不了解自行车型号和市价，你想知道关于自行车的品牌、型号和相应的价格。,39
你打算邀请同学一起去上海旅游，并想制定一个详细的计划。你想知道上海当地的有名旅游景点，以确保能够充分体验上海的风土人情。,40
你是一名刚入学的大学生，想知道大学生医保使用流程，报销方式和范围等问题。,41
你计划在学院开展小型读书会，但害怕参与度低，想知道宣传策略和互动玩法的设计。,42
你准备去法国旅游一周，听说国内电话卡国际漫游花销很大，节俭的你想知道在海外怎么用手机打电话、上网性价比最高。,43
你想在大学期间利用网络资源自学python。但是你没有编程经验，不知道从何下手，你想知道有没有较好的书籍、线上学习资料、网站、课程等。,44
你计划暑假独自骑行环城旅行，但缺乏装备和路线规划经验，你想知道骑行必备物品和安全注意事项。,45
你打算在宿舍布置日式风格，却对和风家具搭配缺乏经验，你想知道日式美学配色和布局方案。,46
为保持自己的体型，你想开始锻炼，你打算从核心肌群的训练开始，你想知道有哪些合适的运动，以及在哪里可以查询到相关资料。,47
你准备学习滑板作为新的代步工具，但怕摔伤， 你想知道初学者应该先练习哪些基本功以及必备的护具。,48
你想学习基础的烘焙但厨房设备有限，你想知道无需烤箱的家庭友好食谱和制作技巧。,49
你打算申请海外交换项目但申请材料复杂，你想知道文书撰写和推荐信准备策略。,50
你想在周末尝试一次短途露营，体验户外生活， 你想知道需要租赁哪些基本装备以及附近有哪些适合新手的露营地点。,51
你听说哈利波特要重映了，你之前没看过哈利波特，所以想借此机会了解一下，你知道这系列电影的大致内容。,52
你对宿舍生活适应不良，为规律作息，你想知道如何建立良好的作息习惯，以及保持身心健康的方法。,53
你计划在校外实习两个月，需要在外面租房，但不知道自己在外租房会有哪些坑，你想知道在挑选房子的时候应该注意些什么。,54
马上要体测了，但你的800米（或1000米）长跑还是不及格，你想知道有关长步技巧以及锻炼计划的建议。,55
你想参加校庆晚会但服装要求模糊，想了解合适的穿着标准，你想知道参加晚会的服装搭配建议。,56
你最近喜欢喝咖啡，想买咖啡豆，自己回家做咖啡，但是你不了解咖啡豆相关的信息，你想知道怎么挑选适合自己的咖啡豆。,57
你准备投资一点小额基金尝试理财，但完全不了解这方面知识， 你想知道对于学生来说哪些基金类型风险较低以及用什么APP操作简便。,58
你准备尝试成为一名视频博主，制作游戏解说的视频， 你想知道需要哪些基础的录制和剪辑设备，以及如何避免版权问题。,59
你刚刚确定下来论文指导老师，但你不知道怎么跟老师沟通。想知道和指导老师有效沟通的方法。,60
为了改善生活质量，你打算明天开始自己做饭，并且想寻求能快速完成且营养丰富的料理。你希望获得一些烹饪技巧、食谱和菜单的推荐。,61
你打算在假期去西部偏远地区进行一次短期支教， 你想知道如何获取可靠的招募信息以及需要提前做哪些教学准备。,62
为撰写创意写作论文，你陷入灵感瓶颈，想获取突破方法，你想知道遇到写作挑战时的建议。,63
你准备开始尝试“极简主义”的生活方式， 你想知道如何迈出断舍离的第一步以及有哪些实践极简主义的书籍值得关注。,64
你想在妈妈生日的时候亲手做一个蛋糕，你想知道做蛋糕的具体步骤和所需原料。,65
你想学习基础油画绘画但资源有限，你想知道有哪些推荐的入门画材、线上课程和练习技巧。,66
你开始准备毕业论文了，但是你毫无学术写作经验，你想知道怎么样查找文献和电子书。,67
你打算申请助学金但流程不熟，你想知道证明材料准备、写作重点和常见误区。,68
你最近想换一台新手机，但是不知道什么手机性价比高，你想知道手机设备参数含义及挑选时的注意事项。,69
你准备开始尝试“极简主义”的生活方式， 你想知道如何迈出断舍离的第一步以及有哪些实践极简主义的书籍。,70
你打算在毕业论文致谢部分用一些特别的方式感谢导师和朋友， 你想知道有哪些创意又不失真诚的表达方式。,71
为面试艺术类岗位，你需准备作品集但结构混乱，你想知道作品集的分类逻辑、展示用语和常见的问题应对。,72
你想在宿舍摆放绿植但担心植物难以存活，你想知道室内养护的品种及照护要点。,73
你打算参加公务员考试，但是你不清楚考公的流程，想了解考公的具体流程和相关资料。,74
你打算在宿舍自制手工皂但担心操作风险，你想知道安全配方和居家制作注意事项。,75
你喜欢看韩剧，因此你想学习韩语作为第二外语，但又不了解韩语在实际生活和工作中的益处，于是你想知道学习韩语的好处。,76
